CASRN,Canonical_QSARr,very_toxic
4544-15-4,OC(C(=O)OCCN1CCCCC1)(C1C=CC=CC=1)C1C=CC=CC=1,False
75-18-3,CSC,False
66230-04-4,CC(C)C(C1=CC=C(Cl)C=C1)C(=O)OC(C#N)C1=CC(=CC=C1)OC1C=CC=CC=1,False
619-72-7,N#CC1C=CC(=CC=1)[N+]([O-])=O,True
1146-95-8,CCC(CN)=C(C1C=CC=CC=1)C1C=CC=CC=1,False
1114-71-2,CCN(CCCC)C(=O)SCCC,False
69658-91-9,CN(N=O)C1C=NC=CC=1,True
94739-29-4,CC1NC(COC(N)=O)=C(C(C=1C(=O)OC)C1=CC=CC(Cl)=C1Cl)C(=O)OC(C)C,False
123172-45-2,NC1C=CC(=CC=1O)C(=O)C1C=CC(Cl)=CC=1,False
28616-48-0,CN(C)P(=O)(OP(=O)(OCC)N(C)C)OCC,True
500-28-7,COP(=S)(OC1=CC(Cl)=C(C=C1)[N+]([O-])=O)OC,False
4755-59-3,CN(C)CCCN1C(=O)N(C2C=C(Cl)C=CC1=2)C1C=CC=CC=1,False
123253-02-1,CN1C(=C(OP2(=O)OCCCO2)C2SC(Cl)=CC=2S1(=O)=O)C(=O)NC1C=CC=CN=1,True
79-21-0,CC(=O)OO,True
65405-73-4,CC(C)=CCCC(C)=CCOCC=O,False
80-59-1,CC(=CC)C(O)=O,False
555-37-3,CCCCN(C)C(=O)NC1=CC(Cl)=C(Cl)C=C1,False
627-09-8,CC(=O)OCC#C,False
62-75-9,CN(C)N=O,True
22052-04-6,S=C1NCNCN1,True
28772-56-7,OC1C2C=CC=CC=2OC(=O)C=1C(CC(O)C1=CC=C(C=C1)C1=CC=C(Br)C=C1)C1=CC=CC=C1,True
86408-72-2,CC(C)C1=CC2CCC3C(C)(CCCC3(C)C(O)=O)C=2C=C1S(O)(=O)=O,False
80086-85-7,CC1=NN=C(O1)SCCCSC1=NN=NN1C,False
21452-18-6,CC1=NC(C)=C(S1)C(=O)NC1C=CC=CC=1,False
816-80-8,CSP(SC)SC,False
50539-66-7,CN(SC1C=CC=CC=1)C(=O)OC1C=CC=C2CC(C)(C)OC=12,True
5587-89-3,CN(C)C=NC1=C(I)C(CCC(O)=O)=C(I)C=C1I,False
505-60-2,ClCCSCCCl,True
22212-55-1,CCOC(=O)C(C)N(C1=CC(Cl)=C(Cl)C=C1)C(=O)C1C=CC=CC=1,False
84487-03-6,NC1C=CC(=C(Cl)N=1)[N+]([O-])=O,False
22787-59-3,CC1=CC(=CC(=O)N1CC)OP(=O)(OCC)OCC,True
2853-69-2,CC1C=CC=CC=1C1=NC2=C(N=C(N)N=C2N)N=C1N,False
96515-74-1,COC(=O)C1C(C(C(=O)OCC(C)(C)CN(C)CC2C=CC=CC=2)=C(C)NC=1C)C1=CC(=CC=C1F)[N+]([O-])=O,True
63717-17-9,CN(CC(=O)SP(=S)(OCC)OCC)C(N)=O,True
154619-86-0,CN1CCC2(C)C1N(C)C1C=CC(=CC2=1)OC(=O)NCCCCCCCCN(CCC)CCC,True
14845-06-8,CCC1C(=O)N(C2C=CC=CC=2)N(C2C=CC=CC=2)C1=O,False
97-23-4,OC1=CC=C(Cl)C=C1CC1=CC(Cl)=CC=C1O,False
7780-06-5,CC(C)OC(=O)C=CC1C=CC=CC=1,False
4205-98-5,[O-][N+](=O)C1=C2NC(=NC2=C(Cl)C(Cl)=C1Cl)C(F)(F)F,True
1067-25-0,CCC[Si](OC)(OC)OC,False
6731-36-8,CC1(C)CC(C)CC(C1)(OOC(C)(C)C)OOC(C)(C)C,False
2439-10-3,[H]/N=C(\N)/NCCCCCCCCCCCC,False
2032-65-7,CC1C=C(C=C(C)C=1SC)OC(=O)NC,True
1125-88-8,COC(OC)C1C=CC=CC=1,False
106-30-9,CCCCCCC(=O)OCC,False
14863-40-2,CC1C=C2NC(=NC2=CC=1Cl)C(F)(F)F,False
4696-76-8,NCC1OC(OC2C(O)C(OC3OC(CO)C(O)C(N)C3O)C(N)CC2N)C(N)C(O)C1O,False
58306-30-2,COCC(=O)NC1C=C(C=CC=1N=C(NC(=O)OC)NC(=O)OC)SC1C=CC=CC=1,False
154619-64-4,CN1CCC2(C)C1N(C)C1=CC=C(C=C21)OC(=O)NCCCCCCCCCCN1CCOCC1,True
1532-14-5,[O-][N+](=O)C1C=CC(=CC=1)C(=O)OC1CCC(CC1)N1CCCCC1,False
344-07-0,FC1=C(Cl)C(F)=C(F)C(F)=C1F,False
18169-57-8,CC(C)C[Si](Cl)(Cl)Cl,False
26447-85-8,COC(=O)C(O)(C1=CC=CS1)C1=CC=CS1,False
33841-12-2,CCOP(=S)(OC1C=CC(=CC=1)C#N)OCC,True
4321-69-1,CC(=O)NC1=CC=C(C=C1)N=NC1C(=CC2C=C(C=C(NC(C)=O)C=2C=1O)S(O)(=O)=O)S(O)(=O)=O,False
6119-96-6,CCOP(=S)(OCC)SCN1C(=O)C2=CC=CC=C2C1=O,True
152-20-5,CSP(=O)(OC)OC,True
107-18-6,C=CCO,False
4486-44-6,CC(C)OP(O)(=S)OC(C)C,False
366-70-1,CNNCC1C=CC(=CC=1)C(=O)NC(C)C,False
19937-59-8,COC1C=CC(=CC=1Cl)NC(=O)N(C)C,False
745-65-3,CCCCCC(O)C=CC1C(CCCCCCC(O)=O)C(=O)CC1O,False
297-78-9,ClC1(Cl)C2(Cl)C3C(C(Cl)OC3Cl)C1(Cl)C(Cl)=C2Cl,True
18127-01-0,CC(C)(C)C1=CC=C(CCC=O)C=C1,False
5002-47-1,CCCCCCCCCC(=O)OCCN1CCN(CCCN2C3=CC=CC=C3SC3C=CC(=CC2=3)C(F)(F)F)CC1,True
951-42-8,CNC(=O)ON=C1C(Cl)C2CC1C(C2)C#N,True
4104-03-4,COP(=S)(SCCC)SCCC,True
18172-33-3,CC(=O)C1C(=O)N2C(C3C(CC4=CC=CC5NC=C3C=54)C2(C)C)C=1O,True
35944-83-3,CC(C)NP(O)(=S)OC1C=C(Cl)C(Cl)=CC=1Cl,True
4940-11-8,CCC1OC=CC(=O)C=1O,False
56073-10-0,OC1=C(C2CC(CC3C=CC=CC=32)C2C=CC(=CC=2)C2C=CC(Br)=CC=2)C(=O)OC2C=CC=CC=21,True
88599-62-6,NC(=O)OC1=CC=CC=C1C(=O)OC1=CC=C(Cl)C=C1,False
14689-51-1,[O-][N+](=O)C1=CC=CC2NC(=NC=21)C(F)(F)F,True
13256-11-6,CN(CCC1C=CC=CC=1)N=O,True
2104-64-5,CCOP(=S)(OC1C=CC(=CC=1)[N+]([O-])=O)C1C=CC=CC=1,True
53494-70-5,O=C1C2C3CC1C1C3C3(Cl)C2(Cl)C(Cl)C1(Cl)C3(Cl)Cl,True
95-50-1,ClC1C=CC=CC=1Cl,False
19133-28-9,CCP(=S)(OCCCl)OC1=CC=C(C=C1)C#N,True
104-76-7,CCCCC(CO)CC,False
6609-40-1,[O-][N+](=O)C1C=C2N=C(NC2=CC=1Cl)C(F)(F)F,True
14689-57-7,FC(F)(F)C1NC2=CC(I)=CC(I)=C2N=1,True
86-28-2,CCN1C2=CC=CC=C2C2C=CC=CC1=2,False
17514-68-0,CC1=CSC2C(Cl)=CC=CC=21,False
55690-47-6,CC(C(O)=O)C1=CC2OCC3C=CC=CC=3C(=O)C=2C=C1,True
563-12-2,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,True
4635-87-4,CC=CCC#N,True
4228-99-3,CC1=C(Cl)C(Cl)=C2N=C(NC2=C1Cl)C(F)(F)F,True
115-79-7,CC[N+](CC1C=CC=CC=1Cl)(CCNC(=O)C(=O)NCC[N+](CC1C=CC=CC=1Cl)(CC)CC)CC,True
2001-95-8,CC(C)C1NC(=O)C(OC(=O)C(C)OC(=O)C(NC(=O)C(OC(=O)C(NC(=O)C(C)OC(=O)C(NC(=O)C(OC(=O)C(NC(=O)C(C)OC(=O)C(NC1=O)C(C)C)C(C)C)C(C)C)C(C)C)C(C)C)C(C)C)C(C)C)C(C)C,True
4691-65-0,OP(O)(=O)OCC1OC(C(O)C1O)N1C=NC2=C1N=CNC2=O,False
21609-90-5,COP(=S)(OC1=CC(Cl)=C(Br)C=C1Cl)C1C=CC=CC=1,True
89427-43-0,CN(C)C1=C2NC(=NC2=C(Cl)C(Cl)=C1Cl)C(F)(F)F,True
99-59-2,COC1C=CC(=CC=1N)[N+]([O-])=O,False
69094-18-4,[O-][N+](=O)C(Br)(Br)CO,True
1071-27-8,N#CCCC[Si](Cl)(Cl)Cl,False
339-65-1,FCCOC(Cl)C(Cl)(Cl)Cl,True
553-86-6,O=C1CC2C=CC=CC=2O1,False
7531-52-4,NC(=O)C1CCCN1,False
20417-84-9,CNC(=O)ON=C1CCCC1(C)[N+]([O-])=O,True
66415-55-2,C=COCCCN,False
35461-10-0,CCOP(=S)(OCC)SCC(=O)N(CC=C)CC=C,True
89426-99-3,FC(F)(F)C1NC2C=C(Cl)C=C(Br)C=2N=1,True
122-10-1,COC(=O)C=C(CC(=O)OC)OP(=O)(OC)OC,True
2996-92-1,CO[Si](OC)(OC)C1C=CC=CC=1,False
57-24-9,O=C1CC2OCC=C3CN4CCC56C(C2C3CC54)N1C1C=CC=CC6=1,True
303-31-1,O=C1CC(CC(=O)N1)N1C(=O)C2C=CC=CC=2C1=O,False
151789-06-9,CC(C)CCCCCCCCCCOCCCN,False
36014-71-8,CCN(CC)S(=O)(=O)C1=C2N=C(NC2=C(Cl)C(Cl)=C1Cl)C(F)(F)F,True
597-88-6,CCSP(=O)(OC1C=CC(=CC=1)[N+]([O-])=O)OCC,True
4849-32-5,CN(C)C(=O)NC1C=C(C=CC=1)OC(=O)NC(C)(C)C,False
1561-48-4,ClCCCCCCCCC(Cl)(Cl)Cl,False
96-29-7,CCC(C)N=O,False
89427-17-8,FC(F)(F)C1NC2C=C(Cl)C(Br)=C(Cl)C=2N=1,True
42565-17-3,COP(=S)(OC)SCC1NOC(=O)N=1,True
68683-30-7,CC(=O)C(Cl)C(=O)OC(C)C1C=CC=CC=1,False
603-00-9,CC(O)CN1C=NC2=C1C(=O)N(C)C(=O)N2C,False
94847-66-2,CN(C)C(=O)N1C(Br)=NC(Br)=C1Br,True
17321-47-0,COP(N)(=S)OC,False
7508-73-8,CCOP(=S)(OC1C=CC(=CC=1)[N+]([O-])=O)OC1C=CC(=CC=1)[N+]([O-])=O,False
26662-09-9,Cc1cc(cc(=O)o1)OP(=O)(OCC)OCC,True
38205-64-0,CC1=NC=C(OC)S1,False
56073-07-5,OC1=C(C2CC(CC3=CC=CC=C32)C2C=CC(=CC=2)C2C=CC=CC=2)C(=O)OC2=CC=CC=C21,True
20856-57-9,O=CNC(NC1C=CC(Cl)=C(Cl)C=1)C(Cl)(Cl)Cl,False
154619-91-7,CN1CCC2(C)C1N(C)C1C=CC(=CC2=1)OC(=O)NCCCCCCCCCCN1CCCCC1,True
327-98-0,CCP(=S)(OC1C=C(Cl)C(Cl)=CC=1Cl)OCC,True
64632-00-4,CN(C)C(=O)N1N=C(N=C1SC)C(C)(C)C,True
13955-12-9,COP(=S)(OC1C=CC(=CC=1)[N+]([O-])=O)OC(C)C,True
117568-24-8,CC(=O)OC1C2C=CC=C(O)C=2C(=O)C2=C1C=CC=C2O,False
465-73-6,ClC1(Cl)C2(Cl)C3C4CC(C=C4)C3C1(Cl)C(Cl)=C2Cl,True
641571-11-1,CC1=CN(C=N1)C1C=C(N)C=C(C=1)C(F)(F)F,True
73941-13-6,CCCNNC1C=CC=CC=1,True
18300-07-7,COP(=S)(CC)SCSCSP(=S)(CC)OC,True
13254-34-7,CC(C)CCCC(C)(C)O,False
51-64-9,CC(N)CC1C=CC=CC=1,True
2422-90-4,CCCCCCCCCCCCNC(N)=S,False
15302-91-7,C[N+]1(C)CCCCC1,False
316-42-7,CCC1CN2CCC3C=C(OC)C(=CC=3C2CC1CC1NCCC2=CC(OC)=C(C=C21)OC)OC,True
89427-20-3,CN(C)C(=O)OC1C2N=C(NC=2C=C(Cl)C=1Cl)C(F)(F)F,True
64050-72-2,COP(=O)(OC(Cl)C(Cl)(Br)Br)OC,True
1464-69-3,CC(=C)C(=O)OCCOC=C,False
71108-14-0,CC1(C)SC(=NN(C)C)SC1=NOC(=O)N(C)SC(Cl)(Cl)Cl,True
367-51-1,OC(=O)CS,True
79-39-0,CC(=C)C(N)=O,False
538-07-8,CCN(CCCl)CCCl,True
623-42-7,CCCC(=O)OC,False
50-27-1,CC12CCC3C(CCC4C=C(O)C=CC=43)C1CC(O)C2O,False
1070-03-7,CCCCC(COP(O)(O)=O)CC,False
104-75-6,CCCCC(CN)CC,False
34491-12-8,CCSP(=O)(CCl)SCC,True
54266-57-8,CC1OCC(=NOC(=O)NC)S1,True
98519-11-0,CCOCC1COC(CN2C=NC=C2)(O1)C1=CC2C=C(Cl)C=C(Cl)C=2O1,False
5930-71-2,COP(=S)(OC)SSP(=S)(OC)OC,False
151-56-4,C1CN1,True
24916-51-6,CC(=O)OC1CC(=O)OC(C)CC=CC=CC(OC2CCC(C(C)O2)N(C)C)C(C)CC(CC=O)C(OC2OC(C)C(OC3CC(C)(O)C(O)C(C)O3)C(C2O)N(C)C)C1OC,False
3671-47-4,FC1C=CC2N=C(NC=2C=1)C(F)(F)F,True
51594-83-3,[O-][N+](=O)C1C=CC(=CC=1)NC(=O)OCC1=CN=CC=C1,True
540-97-6,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,False
55721-11-4,CC(C)(O)C(O)CCC(C)C1CCC2C(CCCC21C)=CC=C1CC(O)CCC1=C,True
3818-80-2,CC(C)OP(=S)(CCl)OP(=O)(OC(C)C)OC(C)C,True
43033-72-3,CC(=O)OC(CC)C(CC(C)N(C)C)(C1C=CC=CC=1)C1C=CC=CC=1,True
64050-66-4,CCCOP(=O)(OC=C(Cl)Cl)OCCCl,True
75530-68-6,CC1NC(C#N)=C(C(C=1C(=O)OC(C)C)C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC,False
101043-37-2,[H]N=C(N)NCCCCC1NC(=O)C(C)C(NC(=O)C(CC(C)C)NC(=O)C(C)NC(=O)C(=C)N(C)C(=O)CCC(NC(=O)C(C)C(C=CC(C)=CC(C)C(CC2C=CC=CC=2)OC)NC1=O)C(O)=O)C(O)=O,True
355-42-0,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,False
1703-58-8,OC(=O)CC(C(CC(O)=O)C(O)=O)C(O)=O,False
147-61-5,CC1NC(=O)NC(=O)C=1CO,False
82875-43-2,CC1N=C(SC=1C(=O)NCCC)C1=CC=CC=C1OC,False
78246-49-8,FC1C=CC(=CC=1)C1CCNCC1COC1C=C2OCOC2=CC=1,False
25646-22-4,C=CCNP(=O)(OC=C(Cl)Cl)OCCCl,True
51-18-3,C1CN1C1N=C(N=C(N=1)N1CC1)N1CC1,True
23436-19-3,CC(C)COCC(C)O,False
1003-40-3,NC1C=CN=CC=1,True
5826-85-7,Cc1cc(=O)oc2cc(ccc12)OP(=S)(OC)OC,True
2255-15-4,COP(=O)(OC1C=C(Cl)C(=CC=1)[N+]([O-])=O)OC,True
109-86-4,COCCO,False
19480-39-8,CC1C=C(Cl)C=CC=1OCC(O)=O,False
100596-38-1,COC(=O)C1C=C(C=C(C=1)C(=O)OC)OC1C=CC(=CC=1N)C(=O)OC,False
40373-31-7,CNC(=O)OC1=CC=CC2OC(CC)(CC)OC=21,True
53944-40-4,CC(=O)C1=CC2=C(C=C1)OC1=NC=CC=C1C2=O,False
1713-97-9,CC(C)OP(=S)(CCl)SC1=CC=C(Cl)C=C1,True
2667-41-6,CCOP(=O)(OC(C1C=C(Cl)C=C(Cl)C=1)=C(Cl)Cl)OCC,True
6609-43-4,[O-][N+](=O)C1C(Cl)=CC2NC(=NC=2C=1Cl)C(F)(F)F,True
91893-36-6,O=S(=O)(CCNC(=O)N(CCCl)N=O)N1CCCCC1,False
66104-23-2,CCCN1CC(CC2C1CC1=CNC3C=CC=C2C1=3)CSC,True
89427-27-0,FC1C(Cl)=C(F)C2N=C(NC=2C=1Cl)C(F)(F)F,True
111-20-6,OC(=O)CCCCCCCCC(O)=O,False
111-49-9,C1CCCCCN1,True
1639-60-7,CCC(=O)OC(CC1C=CC=CC=1)(C(C)CN(C)C)C1C=CC=CC=1,False
100482-70-0,[O-][N+](CCCl)(CCCl)CCCCCl,True
327-92-4,[O-][N+](=O)C1C=C(C(F)=CC=1F)[N+]([O-])=O,True
919-86-8,CCSCCSP(=O)(OC)OC,True
22791-25-9,CC1(C)OC2C=CC=C(OC(=O)NCC#C)C=2O1,False
40942-73-2,CC(=O)CC1CCC(=O)C1CCCCC,False
123277-34-9,CN1c2c(=O)[n](C3CCCCC3)c(=NC3CCCCC3)oc2C2SC(Cl)=CC=2S1(=O)=O,True
3254-62-4,CS(=O)C1C=CC(=CC=1)OP(=S)(OCCC)OCCC,True
79-08-3,OC(=O)CBr,True
13256-23-0,CCN(CC1C=CN=CC=1)N=O,True
611-20-1,N#CC1C=CC=CC=1O,False
7091-41-0,CC1C=CC(=CC=1)B1OCC2(COB(OC2)C2C=CC(C)=CC=2)CO1,False
38188-83-9,CCOP(=S)(OCC)SC1COCCS1,True
104653-34-1,OC1=C(C2CC(CC3C=CC=CC=32)C2C=CC(=CC=2)C2C=CC(Br)=CC=2)C(=O)SC2C=CC=CC=21,True
26921-17-5,CC(C)(C)NCC(O)COC1=NSN=C1N1CCOCC1,False
106-51-4,O=C1C=CC(=O)C=C1,True
13412-64-1,CC1ON=C(C=1C(=O)NC1C2SC(C)(C)C(C(O)=O)N2C1=O)C1C(Cl)=CC=CC=1Cl,False
80-77-3,CN1C(C2C=CC(Cl)=CC=2)S(=O)(=O)CCC1=O,False
10004-44-1,CC1=CC(=O)NO1,False
126-97-6,OC(=O)CS,True
112-43-6,C=CCCCCCCCCCO,False
3735-33-9,COP(=O)(OC)SCN1C(=O)C2C=CC=CC=2C1=O,True
7260-35-7,CCP(=S)(OC1C=C(Cl)C=CC=1Cl)OCC,True
112-27-6,OCCOCCOCCO,False
1885-95-6,CCOP(=O)(OCC)SC=C(Cl)Cl,True
123253-01-0,COC(=O)C(C)(C)C(=O)OC1C2SC(Cl)=CC=2S(=O)(=O)N(C)C=1C(=O)NC1C=CC=CN=1,True
36350-95-5,C(NC1C=CC=CC=1)[Si]12OCCN(CCO1)CCO2,True
50539-74-7,CC1(C)CC2=CC=CC(OC(=O)NCSC3C=CC(Br)=CC=3)=C2O1,True
4602-84-0,CC(C)=CCCC(C)=CCCC(C)=CCO,False
82163-55-1,CCOC(=O)C1=C(C)C=C2N=C(COC(=O)NC)N(C(=O)C2=C1C)C1=CC=CC=C1Cl,False
163515-14-8,CC1SC=C(C)C=1N(C(C)COC)C(=O)CCl,False
3853-74-5,COP(=S)(OC(C)C)SCSCCOC(=O)NCC,True
154619-66-6,CN1CCC2(C)C1N(C)C1=CC=C(C=C21)OC(=O)NCCCCCCCCN1CCSCC1,True
15878-08-7,CC1NN=CC=1Cl,False
38357-93-6,FC(F)(F)C1=CC(=CC=C1)N1N=C(OCCCN2CCCCCC2)C2=CC=CN=C12,False
67306-03-0,CC(CC1C=CC(=CC=1)C(C)(C)C)CN1CC(C)OC(C)C1,False
2587-90-8,CSCCSP(=O)(OC)OC,True
139-08-2,CCCCCCCCCCCCCC[N+](C)(C)CC1C=CC=CC=1,False
60-29-7,CCOCC,False
120-83-2,OC1C=CC(Cl)=CC=1Cl,True
63451-45-6,OCC(COP(=O)(OCCCl)OCCCl)(COP(=O)(OCCCl)OCCCl)CO,False
1746-01-6,ClC1=CC2OC3C=C(Cl)C(Cl)=CC=3OC=2C=C1Cl,True
108-98-5,SC1C=CC=CC=1,True
76874-96-9,OC1C=C(C(=CC=1)NC1=CC(=CC=C1)C(F)(F)F)C(=O)OCCOCCO,False
154619-76-8,CN1CCC2(C)C1N(C)C1C=CC(=CC2=1)OC(=O)NCCCCCCCCCCN(CC)CC,True
4433-79-8,CC(=O)CC(=O)NC1C=C(OC)C(Cl)=CC=1OC,False
484-20-8,COC1=C2C=COC2=CC2OC(=O)C=CC=21,False
60-26-4,C[N+](C)(C)CCCCCC[N+](C)(C)C,False
3447-87-8,O=C1C(Cl)C2(Cl)C3C(C(Cl)OC3Cl)C1(Cl)C2(Cl)Cl,True
108-35-0,CC1=CC(=NN1)OP(=S)(OCC)OCC,True
92065-18-4,CC(=NOC(=O)NC)SC(CC)C(N)=O,True
68922-23-6,CC(C)(C)C1=CC(=C(C=C1C)OP(OC1C=C(C)C(=CC=1C(C)(C)C)C(C)(C)C)OC1C=C(C)C(=CC=1C(C)(C)C)C(C)(C)C)C(C)(C)C,False
1516-67-2,CCOP(=S)(N=[N+]=N)OCC,True
83003-97-8,CC(=O)NC1C=C2NC(=NC2=CC=1)C(F)(F)F,True
59021-03-3,CSCC1=CN=CC=N1,False
61361-60-2,[O-][N+](=O)C1C=C(CNCCO)C(O)=CC=1,True
671-04-5,CC1=CC(OC(=O)NC)=C(Cl)C=C1C,True
98-86-2,CC(=O)C1C=CC=CC=1,False
2162-73-4,CC(C)C1=CC(C(C)C)=C(N=C=O)C(C(C)C)=C1N=C=O,False
71561-11-0,CC1=NN(C)C(OCC(=O)C2C=CC=CC=2)=C1C(=O)C1=CC=C(Cl)C=C1Cl,False
13749-94-5,CSC(C)N=O,False
110-91-8,C1COCCN1,False
17590-01-1,CC(CC1C=CC=CC=1)NC(C#N)C1C=CC=CC=1,True
4548-53-2,CC1C=C(C)C(=CC=1S(O)(=O)=O)N=NC1C=C(C2C=CC=CC=2C=1O)S(O)(=O)=O,False
53220-22-7,CCCCCCCCCCCCCCOC(=O)OOC(=O)OCCCCCCCCCCCCCC,False
375-34-8,FC(F)(F)C(Cl)(Cl)C(Cl)(Cl)C(F)(F)F,False
556-56-9,C=CCI,True
143-08-8,CCCCCCCCCO,False
51781-21-6,CC(C)(C)NCC(O)COC1=CC=CC2NC(=O)CCC=21,False
2094-99-7,CC(=C)C1=CC(=CC=C1)C(C)(C)N=C=O,False
97780-06-8,COC(=O)C1C=CC=CC=1S(=O)(=O)NC(=O)NC1N=C(N=C(NC)N=1)OCC,False
300-42-5,CNC(C)CC1C=CC=CC=1,True
83-26-1,CC(C)(C)C(=O)C1C(=O)C2C=CC=CC=2C1=O,True
40843-82-1,C/N=N/NC1=CC=C(Cl)C=C1,False
77-86-1,NC(CO)(CO)CO,False
52-53-9,CC(C)C(CCCN(C)CCC1C=CC(OC)=C(C=1)OC)(C#N)C1=CC(OC)=C(C=C1)OC,False
1123-25-7,CC1(CCCCC1)C(O)=O,False
69975-86-6,CN1C(=O)C2=C(N=CN2CC2OCCO2)N(C)C1=O,False
88296-62-2,CN(C)C1(CCN(CC1)C1CCCCC1O)C(=O)NC1C(C)=CC=CC=1C,True
538-32-9,NC(=O)NCC1C=CC=CC=1,False
22608-53-3,COP(=O)(SC)SC,True
32210-23-4,CC(=O)OC1CCC(CC1)C(C)(C)C,False
74-96-4,CCBr,False
91893-35-5,NS(=O)(=O)CCNC(=O)N(CCCl)N=O,True
2588-03-6,CCS(=O)CSP(=S)(OCC)OCC,True
3159-29-3,O=C(NC1=CC(Cl)=CC=C1)OCC#CCOC(=O)NC1C=C(Cl)C=CC=1,False
122277-24-1,CC1C=C(C(=CC=1)OC(N)=O)C(=O)OC1C=CC=CC=1,False
2720-73-2,CCCCCOC(S)=S,False
51356-13-9,CCC1C=CC(=O)N(CSP(=S)(OCC)OCC)N=1,True
135-07-9,CN1C(CCl)NC2=CC(Cl)=C(C=C2S1(=O)=O)S(N)(=O)=O,False
56538-01-3,COC1C=CC(=CC=1CNCCCl)[N+]([O-])=O,True
18300-10-2,CCP(=S)(OCC)SCSCSP(=S)(CC)OCC,True
3254-63-5,CSC1C=CC(=CC=1)OP(=O)(OC)OC,True
22620-72-0,CC1=CC(=CC(=O)N1CC=C)OP(=O)(OC)OC,True
10265-92-6,COP(N)(=O)SC,True
141-66-2,CC(=CC(=O)N(C)C)OP(=O)(OC)OC,True
66232-25-5,CCCCOC(=O)CC1C=CC(=CC=1)N(CCCl)CCCl,True
100-37-8,CCN(CCO)CC,False
100299-08-9,CC1=CC=CN2C(=O)C(=CN=C21)C1NN=NN=1,False
1095-90-5,CCC(=O)C(CC(C)N(C)C)(C1C=CC=CC=1)C1C=CC=CC=1,True
1646-88-4,CNC(=O)ON=CC(C)(C)S(C)(=O)=O,True
128-62-1,COC1C2C(=O)OC(C3C4C(OC)=C5OCOC5=CC=4CCN3C)C=2C=CC=1OC,False
54266-44-3,CN=C(O)ON=C1COCS1,True
332-35-4,COC1C=CC(=CC=1)NC(=O)CF,True
90220-15-8,CCP(=O)(OCCC)SCCC,True
4994-16-5,C1C=CCCC1C1C=CC=CC=1,False
22791-20-4,CC1=CC=C(OC(=O)NC)C2OC(C)(C)OC1=2,True
2814-20-2,CC1=CC(=O)N=C(N1)C(C)C,False
